round,backup_time_ms
1,449.0
2,455.0
3,449.0
4,455.0
5,456.0
6,452.0
7,470.0
8,471.0
9,491.0
10,462.0
11,425.0
12,406.0
13,489.0
14,446.0
15,425.0
16,407.0
17,455.0
18,439.0
19,465.0
20,449.0
21,473.0
22,448.0
23,407.0
24,399.0
25,484.0
26,470.0
27,468.0
28,390.0
29,444.0
30,452.0
31,449.0
32,435.0
33,497.0
34,438.0
35,409.0
36,486.0
37,478.0
38,509.0
39,409.0
40,417.0
41,414.0
42,497.0
43,467.0
44,499.0
45,425.0
46,428.0
47,421.0
48,468.0
49,489.0
50,484.0
51,474.0
52,425.0
53,402.0
54,398.0
55,422.0
56,443.0
57,431.0
58,476.0
59,421.0
60,455.0
61,461.0
62,476.0
63,445.0
64,454.0
65,445.0
66,484.0
67,480.0
68,483.0
69,400.0
70,421.0
71,454.0
72,432.0
73,464.0
74,447.0
75,441.0
76,457.0
77,462.0
78,476.0
79,444.0
80,468.0
81,428.0
82,408.0
83,429.0
84,513.0
85,403.0
86,416.0
87,476.0
88,488.0
89,460.0
90,467.0
91,463.0
92,413.0
93,413.0
94,435.0
95,439.0
96,466.0
97,481.0
98,504.0
99,762.0
100,508.0
101,428.0
102,429.0
103,451.0
104,457.0
105,443.0
106,410.0
107,394.0
108,512.0
109,469.0
110,447.0
111,390.0
112,482.0
113,428.0
114,483.0
115,409.0
116,420.0
117,420.0
118,420.0
119,445.0
120,458.0
121,475.0
122,490.0
123,422.0
124,492.0
125,415.0
126,440.0
127,426.0
128,447.0
129,427.0
130,440.0
131,452.0
132,446.0
133,418.0
134,429.0
135,432.0
136,468.0
137,454.0
138,491.0
139,429.0
140,442.0
141,446.0
142,472.0
143,453.0
144,477.0
145,476.0
146,490.0
147,440.0
148,425.0
149,485.0
150,476.0
151,388.0
152,482.0
153,401.0
154,487.0
155,438.0
156,479.0
157,457.0
158,481.0
159,424.0
160,414.0
161,417.0
162,414.0
163,426.0
164,461.0
165,472.0
166,403.0
167,435.0
168,472.0
169,478.0
170,480.0
171,481.0
172,487.0
173,396.0
174,422.0
175,427.0
176,394.0
177,473.0
178,485.0
179,463.0
180,479.0
181,391.0
182,497.0
183,413.0
184,403.0
185,430.0
186,475.0
187,485.0
188,405.0
189,472.0
190,415.0
191,415.0
192,465.0
193,488.0
194,417.0
195,443.0
196,460.0
197,487.0
198,413.0
199,418.0
200,396.0
201,423.0
202,418.0
203,448.0
204,466.0
205,477.0
206,394.0
207,485.0
208,444.0
209,439.0
210,441.0
211,494.0
212,411.0
213,414.0
214,501.0
215,464.0
216,450.0
217,407.0
218,396.0
219,402.0
220,417.0
221,476.0
222,413.0
223,440.0
224,502.0
225,464.0
226,481.0
227,406.0
228,414.0
229,436.0
230,424.0
231,449.0
232,415.0
233,422.0
234,481.0
235,397.0
236,485.0
237,477.0
238,404.0
239,410.0
240,412.0
241,422.0
242,490.0
243,599.0
244,458.0
245,490.0
246,496.0
247,500.0
248,419.0
249,479.0
250,392.0
251,449.0
252,484.0
253,466.0
254,472.0
255,475.0
256,399.0
257,407.0
258,487.0
