round,init_time_ms
1,29.0
2,34.0
3,31.0
4,33.0
5,32.0
6,35.0
7,32.0
8,33.0
9,31.0
10,32.0
11,33.0
12,31.0
13,37.0
14,34.0
15,33.0
16,35.0
17,30.0
18,33.0
19,33.0
20,36.0
21,33.0
22,33.0
23,31.0
24,33.0
25,33.0
26,36.0
27,33.0
28,37.0
29,35.0
30,34.0
31,32.0
32,35.0
33,32.0
34,32.0
35,32.0
36,32.0
37,33.0
38,32.0
39,37.0
40,32.0
41,35.0
42,34.0
43,33.0
44,35.0
45,33.0
46,33.0
47,36.0
48,32.0
49,33.0
50,35.0
51,31.0
52,34.0
53,33.0
54,37.0
55,33.0
56,32.0
57,32.0
58,31.0
59,36.0
60,32.0
61,36.0
62,33.0
63,35.0
64,30.0
65,33.0
66,35.0
67,31.0
68,32.0
69,30.0
70,32.0
71,35.0
72,33.0
73,33.0
74,38.0
75,32.0
76,33.0
77,35.0
78,34.0
79,32.0
80,35.0
81,32.0
82,31.0
83,32.0
84,32.0
85,35.0
86,34.0
87,35.0
88,32.0
89,31.0
90,34.0
91,33.0
92,32.0
93,33.0
94,31.0
95,33.0
96,33.0
97,35.0
98,34.0
99,32.0
100,35.0
101,33.0
102,33.0
103,36.0
104,33.0
105,33.0
106,33.0
107,32.0
108,31.0
109,33.0
110,31.0
111,35.0
112,36.0
113,35.0
114,33.0
115,34.0
116,31.0
117,35.0
118,32.0
119,31.0
120,33.0
121,31.0
122,32.0
123,35.0
124,31.0
125,35.0
126,34.0
127,33.0
128,36.0
129,30.0
130,31.0
131,31.0
132,32.0
133,34.0
134,32.0
135,38.0
136,32.0
137,39.0
138,35.0
139,37.0
140,37.0
141,36.0
142,36.0
143,37.0
144,36.0
145,38.0
146,34.0
147,36.0
148,37.0
149,37.0
150,36.0
151,38.0
152,37.0
153,38.0
154,36.0
155,38.0
156,36.0
157,35.0
158,36.0
159,36.0
160,37.0
161,37.0
162,37.0
163,34.0
164,37.0
165,37.0
166,37.0
167,36.0
168,37.0
169,36.0
170,35.0
171,36.0
172,35.0
173,37.0
174,36.0
175,38.0
176,39.0
177,35.0
178,33.0
179,35.0
180,36.0
181,37.0
182,38.0
183,35.0
184,36.0
185,36.0
186,35.0
187,37.0
188,36.0
189,37.0
190,36.0
191,37.0
192,37.0
193,36.0
194,36.0
195,37.0
196,36.0
197,36.0
198,35.0
199,36.0
200,37.0
201,37.0
202,37.0
203,38.0
204,36.0
205,36.0
206,34.0
207,40.0
208,38.0
209,38.0
210,36.0
211,36.0
212,36.0
213,37.0
214,35.0
215,39.0
216,37.0
217,36.0
218,38.0
219,37.0
220,39.0
221,35.0
222,36.0
