round,connect_latency_ms,excluded_from_stats
1,1943.0,True
2,1409.0,False
3,1482.0,False
4,3268.0,False
5,1483.0,False
6,1664.0,False
7,1678.0,False
8,1574.0,False
9,1659.0,False
10,1635.0,False
11,1571.0,False
12,1651.0,False
13,1614.0,False
14,1609.0,False
15,1583.0,False
16,1588.0,False
17,1683.0,False
18,1698.0,False
19,1581.0,False
20,1656.0,False
21,1622.0,False
22,1589.0,False
23,1678.0,False
24,1348.0,False
25,1643.0,False
26,1624.0,False
27,1581.0,False
28,3036.0,False
29,2989.0,False
30,1608.0,False
31,1597.0,False
32,1570.0,False
33,1621.0,False
34,1607.0,False
35,1585.0,False
36,1558.0,False
37,1575.0,False
38,1632.0,False
39,1573.0,False
40,1626.0,False
41,1595.0,False
42,1561.0,False
43,1632.0,False
44,1628.0,False
45,1584.0,False
46,1573.0,False
47,1426.0,False
48,2699.0,False
49,4550.0,False
50,1074.0,False
51,1549.0,False
52,1620.0,False
53,1625.0,False
54,1595.0,False
55,1555.0,False
56,1658.0,False
57,1614.0,False
58,1579.0,False
59,1540.0,False
60,1630.0,False
61,1587.0,False
62,1469.0,False
63,1593.0,False
64,1622.0,False
65,1598.0,False
66,1570.0,False
67,3620.0,False
68,3082.0,False
69,1633.0,False
70,1632.0,False
71,1578.0,False
72,1641.0,False
73,1620.0,False
74,1590.0,False
75,1641.0,False
76,1627.0,False
77,1664.0,False
78,1648.0,False
79,1625.0,False
80,1599.0,False
81,1493.0,False
82,1627.0,False
83,1600.0,False
84,1583.0,False
85,1620.0,False
86,1621.0,False
87,2793.0,False
88,1607.0,False
89,1591.0,False
90,1560.0,False
91,1645.0,False
92,1591.0,False
93,1563.0,False
94,1655.0,False
95,1585.0,False
96,1564.0,False
97,1594.0,False
98,1612.0,False
99,1589.0,False
100,1650.0,False
101,1645.0,False
102,1607.0,False
103,1578.0,False
104,1660.0,False
105,1642.0,False
106,3113.0,False
107,4507.0,False
108,2698.0,False
109,1556.0,False
110,1625.0,False
111,1614.0,False
112,1561.0,False
113,1635.0,False
114,1560.0,False
115,1628.0,False
116,1597.0,False
117,1577.0,False
118,1595.0,False
119,1564.0,False
120,1604.0,False
121,1668.0,False
122,1585.0,False
123,1639.0,False
124,1611.0,False
125,1478.0,False
126,1656.0,False
127,1639.0,False
128,1612.0,False
129,1644.0,False
130,1599.0,False
131,1418.0,False
132,1516.0,False
133,1597.0,False
134,1652.0,False
135,1580.0,False
136,1664.0,False
137,1624.0,False
138,1625.0,False
139,1615.0,False
140,1603.0,False
141,1589.0,False
142,1576.0,False
143,1649.0,False
144,1574.0,False
145,1647.0,False
146,1606.0,False
147,1572.0,False
148,1617.0,False
149,1550.0,False
150,1631.0,False
151,1590.0,False
152,1653.0,False
153,1616.0,False
154,1628.0,False
155,1585.0,False
156,1559.0,False
157,1632.0,False
158,1558.0,False
159,1623.0,False
160,1596.0,False
161,1324.0,False
162,1569.0,False
163,4188.0,False
164,2760.0,False
165,2651.0,False
166,1259.0,False
167,1643.0,False
168,1627.0,False
169,1580.0,False
170,1327.0,False
171,1612.0,False
172,1569.0,False
173,1611.0,False
174,1538.0,False
175,1638.0,False
176,1615.0,False
177,1579.0,False
178,1645.0,False
179,1640.0,False
180,1617.0,False
181,1595.0,False
182,1456.0,False
183,1631.0,False
184,1610.0,False
185,1580.0,False
186,1585.0,False
187,1561.0,False
188,1622.0,False
189,1579.0,False
190,1557.0,False
191,1622.0,False
192,1601.0,False
193,1556.0,False
194,1651.0,False
195,1655.0,False
196,1645.0,False
197,1665.0,False
198,1620.0,False
199,1589.0,False
200,3226.0,False
201,1595.0,False
202,1573.0,False
203,1667.0,False
204,1626.0,False
205,1578.0,False
206,1601.0,False
207,1678.0,False
208,1612.0,False
209,1584.0,False
210,1668.0,False
211,1640.0,False
212,1602.0,False
213,1572.0,False
214,1555.0,False
215,1603.0,False
216,1551.0,False
217,1596.0,False
218,1559.0,False
219,1550.0,False
220,3564.0,False
221,4640.0,False
222,4613.0,False
223,2462.0,False
224,1617.0,False
225,1643.0,False
226,1658.0,False
227,1638.0,False
228,1606.0,False
229,1534.0,False
230,1592.0,False
231,1627.0,False
232,1619.0,False
233,1605.0,False
234,1584.0,False
235,1567.0,False
236,1660.0,False
237,1621.0,False
238,1596.0,False
239,1560.0,False
240,1610.0,False
241,1618.0,False
242,1572.0,False
243,1636.0,False
244,1599.0,False
245,1652.0,False
246,1664.0,False
247,1622.0,False
248,1600.0,False
249,1587.0,False
250,1584.0,False
251,1577.0,False
252,1355.0,False
253,1580.0,False
254,1569.0,False
255,1678.0,False
256,1572.0,False
257,1568.0,False
258,1601.0,False
259,1584.0,False
260,1578.0,False
261,1564.0,False
262,1558.0,False
263,1635.0,False
264,1609.0,False
265,1603.0,False
266,1575.0,False
267,1564.0,False
268,1641.0,False
269,1606.0,False
270,1577.0,False
271,1636.0,False
272,1593.0,False
273,1633.0,False
274,1607.0,False
275,1582.0,False
276,1568.0,False
277,1620.0,False
278,1577.0,False
279,1549.0,False
280,1596.0,False
281,1607.0,False
282,1584.0,False
283,1649.0,False
284,1602.0,False
285,1581.0,False
286,1581.0,False
287,1657.0,False
288,1635.0,False
289,1574.0,False
290,1621.0,False
291,1524.0,False
292,1584.0,False
293,1580.0,False
294,1554.0,False
295,1629.0,False
296,1593.0,False
297,3292.0,False
298,1583.0,False
299,1644.0,False
300,1587.0,False
301,1556.0,False
302,1622.0,False
303,1589.0,False
304,1616.0,False
305,1592.0,False
306,1552.0,False
307,1611.0,False
308,1567.0,False
309,1624.0,False
310,1648.0,False
311,1596.0,False
312,1636.0,False
313,1582.0,False
314,3646.0,False
315,2684.0,False
316,2733.0,False
317,1624.0,False
318,1581.0,False
319,1469.0,False
320,1583.0,False
321,1536.0,False
322,1574.0,False
323,1564.0,False
324,1651.0,False
325,1581.0,False
326,1646.0,False
327,1618.0,False
328,1594.0,False
329,1547.0,False
330,1630.0,False
331,1541.0,False
332,1523.0,False
333,2876.0,False
334,2770.0,False
335,1545.0,False
336,1613.0,False
337,1562.0,False
338,1623.0,False
339,1586.0,False
340,1635.0,False
341,1610.0,False
342,1560.0,False
343,1630.0,False
344,1611.0,False
345,1592.0,False
346,1587.0,False
347,1616.0,False
348,1624.0,False
349,1541.0,False
350,1623.0,False
351,1572.0,False
352,1611.0,False
353,1523.0,False
354,1535.0,False
355,1593.0,False
356,1634.0,False
357,1570.0,False
358,1630.0,False
359,1560.0,False
360,1618.0,False
361,1579.0,False
362,1571.0,False
363,1620.0,False
364,1559.0,False
365,1604.0,False
366,1582.0,False
367,1575.0,False
368,1662.0,False
369,1656.0,False
370,1635.0,False
371,1604.0,False
372,1595.0,False
373,1517.0,False
374,1547.0,False
375,1600.0,False
376,1578.0,False
377,1586.0,False
378,1589.0,False
379,1571.0,False
380,1663.0,False
381,1639.0,False
382,1593.0,False
383,1535.0,False
384,1563.0,False
385,1571.0,False
386,1671.0,False
387,1636.0,False
388,1632.0,False
389,1554.0,False
390,1617.0,False
391,1570.0,False
392,1556.0,False
393,1608.0,False
394,1596.0,False
395,1607.0,False
396,1614.0,False
397,1532.0,False
398,1628.0,False
399,1394.0,False
400,1616.0,False
401,1593.0,False
402,1550.0,False
403,1556.0,False
404,1593.0,False
405,1557.0,False
406,1626.0,False
407,1611.0,False
408,1571.0,False
409,1534.0,False
410,1603.0,False
411,1578.0,False
412,1643.0,False
413,1592.0,False
414,1576.0,False
415,1631.0,False
416,1632.0,False
417,1605.0,False
418,1578.0,False
419,1562.0,False
420,1609.0,False
421,1564.0,False
422,1616.0,False
423,1563.0,False
424,1628.0,False
425,1608.0,False
426,2782.0,False
427,2688.0,False
428,1539.0,False
429,1607.0,False
430,1555.0,False
431,1449.0,False
432,1543.0,False
433,1649.0,False
434,1560.0,False
435,1599.0,False
436,1639.0,False
437,1576.0,False
438,1645.0,False
439,1609.0,False
440,1608.0,False
441,1553.0,False
442,1599.0,False
443,1566.0,False
444,3634.0,False
445,2747.0,False
446,4601.0,False
447,1571.0,False
448,1648.0,False
449,1615.0,False
450,1561.0,False
451,1624.0,False
452,1605.0,False
453,1567.0,False
454,1535.0,False
455,1222.0,False
456,1410.0,False
457,1561.0,False
458,1618.0,False
459,1546.0,False
460,1592.0,False
461,1560.0,False
462,1569.0,False
463,1582.0,False
464,1562.0,False
465,1512.0,False
466,1566.0,False
467,1624.0,False
468,1599.0,False
469,1562.0,False
470,1533.0,False
471,1596.0,False
472,1562.0,False
473,1550.0,False
474,1626.0,False
475,1628.0,False
476,1590.0,False
477,1596.0,False
478,1603.0,False
479,1602.0,False
480,1528.0,False
481,1567.0,False
482,1632.0,False
483,1571.0,False
484,1603.0,False
485,1610.0,False
486,1568.0,False
487,1592.0,False
488,1540.0,False
489,1637.0,False
490,1605.0,False
491,1589.0,False
492,1600.0,False
493,1568.0,False
494,1643.0,False
495,1583.0,False
496,1315.0,False
497,1621.0,False
498,1554.0,False
499,1639.0,False
500,1563.0,False
501,1639.0,False
502,1612.0,False
503,1548.0,False
504,1633.0,False
505,1591.0,False
506,1584.0,False
507,1584.0,False
508,1644.0,False
509,1631.0,False
510,1599.0,False
511,1622.0,False
512,1609.0,False
513,1544.0,False
514,1608.0,False
515,1561.0,False
516,1611.0,False
517,1596.0,False
518,1652.0,False
519,1605.0,False
520,1568.0,False
521,1636.0,False
522,1567.0,False
523,1622.0,False
524,1595.0,False
525,1571.0,False
526,1616.0,False
527,1573.0,False
