round,connect_latency_ms,excluded_from_stats
1,3504.0,True
2,1503.0,False
3,1511.0,False
4,1513.0,False
5,1503.0,False
6,3522.0,False
7,3337.0,False
8,1506.0,False
9,1591.0,False
10,1513.0,False
11,1517.0,False
12,3427.0,False
13,1524.0,False
14,1518.0,False
15,1521.0,False
16,1520.0,False
17,1525.0,False
18,1517.0,False
19,1484.0,False
20,1525.0,False
21,1541.0,False
22,1511.0,False
23,1521.0,False
24,1504.0,False
25,1486.0,False
26,1529.0,False
27,1525.0,False
28,1544.0,False
29,1473.0,False
30,1570.0,False
31,1451.0,False
32,1528.0,False
33,1516.0,False
34,1553.0,False
35,1520.0,False
36,1507.0,False
37,1507.0,False
38,1605.0,False
39,1495.0,False
40,3238.0,False
41,1580.0,False
42,1456.0,False
43,1525.0,False
44,1491.0,False
45,1572.0,False
46,1593.0,False
47,1463.0,False
48,1579.0,False
49,1490.0,False
50,1559.0,False
51,1481.0,False
52,1495.0,False
53,1598.0,False
54,1607.0,False
55,1508.0,False
56,1589.0,False
57,1479.0,False
58,1523.0,False
59,1525.0,False
60,2763.0,False
61,4531.0,False
62,2830.0,False
63,4659.0,False
64,2679.0,False
65,2649.0,False
66,1520.0,False
67,1542.0,False
68,1496.0,False
69,1507.0,False
70,3500.0,False
71,3264.0,False
72,1501.0,False
73,1518.0,False
74,1514.0,False
75,1538.0,False
76,1455.0,False
77,1586.0,False
78,1497.0,False
79,1520.0,False
80,1528.0,False
81,1541.0,False
82,1498.0,False
83,1504.0,False
84,1609.0,False
85,1518.0,False
86,1521.0,False
87,1474.0,False
88,1517.0,False
89,1521.0,False
90,1528.0,False
91,1544.0,False
92,1506.0,False
93,1532.0,False
94,1462.0,False
95,1561.0,False
96,1568.0,False
97,1351.0,False
98,1557.0,False
99,1585.0,False
100,1472.0,False
101,1561.0,False
102,1494.0,False
103,1527.0,False
104,1442.0,False
105,1566.0,False
106,1612.0,False
107,1526.0,False
108,1516.0,False
109,1513.0,False
110,1524.0,False
111,3329.0,False
112,1598.0,False
113,1521.0,False
114,1518.0,False
115,1471.0,False
116,1486.0,False
117,1481.0,False
118,1501.0,False
119,1471.0,False
120,1554.0,False
121,1593.0,False
122,1453.0,False
123,1535.0,False
124,1594.0,False
125,1509.0,False
126,1520.0,False
127,1541.0,False
128,1504.0,False
129,1492.0,False
130,1524.0,False
131,1520.0,False
132,1558.0,False
133,1526.0,False
134,1563.0,False
135,1457.0,False
136,1565.0,False
137,1598.0,False
138,1491.0,False
139,1510.0,False
140,1509.0,False
141,1517.0,False
142,1438.0,False
143,1512.0,False
144,1495.0,False
145,1478.0,False
146,1497.0,False
147,1524.0,False
148,1514.0,False
149,1468.0,False
150,1579.0,False
151,1515.0,False
152,1547.0,False
153,1497.0,False
154,1484.0,False
155,3381.0,False
156,1582.0,False
157,1510.0,False
158,1518.0,False
159,1515.0,False
160,1501.0,False
161,1508.0,False
162,1524.0,False
163,1519.0,False
164,1525.0,False
165,1493.0,False
166,1508.0,False
167,1582.0,False
168,1512.0,False
169,1515.0,False
170,1525.0,False
171,1603.0,False
172,1507.0,False
173,1475.0,False
174,1487.0,False
175,1485.0,False
176,1514.0,False
177,1508.0,False
178,1526.0,False
179,1514.0,False
180,1493.0,False
181,1515.0,False
182,1547.0,False
183,1575.0,False
