round,connect_latency_ms,excluded_from_stats
1,17721.0,True
2,5584.0,False
3,5581.0,False
4,5845.0,False
5,6323.0,False
6,6611.0,False
7,6515.0,False
8,7652.0,False
9,4815.0,False
10,6537.0,False
11,4450.0,False
12,5145.0,False
13,5088.0,False
14,5579.0,False
15,5468.0,False
16,5449.0,False
17,5428.0,False
18,5309.0,False
19,5315.0,False
20,5313.0,False
21,5183.0,False
22,5153.0,False
23,5635.0,False
24,5476.0,False
25,5476.0,False
26,5432.0,False
27,5432.0,False
28,5301.0,False
29,5311.0,False
30,5258.0,False
31,5261.0,False
32,5115.0,False
33,5079.0,False
34,5552.0,False
35,5429.0,False
36,5379.0,False
37,5377.0,False
38,5261.0,False
39,5244.0,False
40,5254.0,False
41,5259.0,False
42,5653.0,False
43,5313.0,False
44,5301.0,False
45,5281.0,False
46,5127.0,False
47,5105.0,False
48,5093.0,False
49,3475.0,False
50,5498.0,False
51,5489.0,False
52,5451.0,False
53,5451.0,False
54,5437.0,False
55,5230.0,False
56,5213.0,False
57,5210.0,False
58,5179.0,False
59,5040.0,False
60,5527.0,False
61,5524.0,False
62,5522.0,False
63,5238.0,False
64,5088.0,False
65,5568.0,False
66,5354.0,False
67,5240.0,False
68,5231.0,False
69,5191.0,False
70,5174.0,False
71,5061.0,False
72,5051.0,False
73,3529.0,False
74,5106.0,False
75,5487.0,False
76,5457.0,False
77,5418.0,False
78,5406.0,False
79,5276.0,False
80,5240.0,False
81,5241.0,False
82,5230.0,False
83,5108.0,False
84,5087.0,False
85,5563.0,False
86,5542.0,False
87,5415.0,False
88,5352.0,False
89,5358.0,False
90,5849.0,False
91,5477.0,False
92,5408.0,False
93,5415.0,False
94,5287.0,False
95,5274.0,False
96,5223.0,False
97,5214.0,False
98,5208.0,False
99,5075.0,False
100,5061.0,False
101,3174.0,False
102,5239.0,False
103,5186.0,False
104,5162.0,False
105,5174.0,False
106,5057.0,False
107,5052.0,False
108,5528.0,False
109,5502.0,False
110,5386.0,False
111,5307.0,False
112,5302.0,False
113,5173.0,False
114,5320.0,False
115,5284.0,False
116,5266.0,False
117,5214.0,False
118,5080.0,False
119,5061.0,False
120,6191.0,False
121,5373.0,False
122,5269.0,False
123,5221.0,False
124,5083.0,False
125,5535.0,False
126,3472.0,False
127,5132.0,False
128,5168.0,False
129,5255.0,False
130,5214.0,False
131,5293.0,False
132,5353.0,False
133,5318.0,False
134,5398.0,False
135,5477.0,False
136,5456.0,False
137,5518.0,False
138,3479.0,False
139,6613.0,False
140,5842.0,False
141,5504.0,False
142,5567.0,False
143,3537.0,False
144,5203.0,False
145,5207.0,False
146,5216.0,False
147,5175.0,False
148,5236.0,False
149,5283.0,False
150,5328.0,False
151,5323.0,False
152,5175.0,False
153,5245.0,False
154,5209.0,False
155,5267.0,False
156,5251.0,False
157,5806.0,False
158,4690.0,False
159,6806.0,False
160,5269.0,False
161,5364.0,False
162,5400.0,False
163,5466.0,False
164,5430.0,False
165,5228.0,False
166,5283.0,False
167,5253.0,False
168,5333.0,False
169,5396.0,False
170,5341.0,False
171,5410.0,False
172,5479.0,False
173,5547.0,False
174,1500.0,False
175,5385.0,False
176,6626.0,False
177,6306.0,False
178,5315.0,False
179,5328.0,False
180,5307.0,False
181,5370.0,False
182,5437.0,False
183,5969.0,False
184,5317.0,False
185,5368.0,False
186,5412.0,False
187,5395.0,False
188,5506.0,False
189,5576.0,False
