round,backup_time_ms
1,191.0
2,176.0
3,176.0
4,84.0
5,80.0
6,169.0
7,181.0
8,139.0
9,117.0
10,162.0
11,108.0
12,207.0
13,110.0
14,161.0
15,154.0
16,164.0
17,131.0
18,182.0
19,124.0
20,199.0
21,207.0
22,153.0
23,136.0
24,190.0
25,121.0
26,123.0
27,154.0
28,114.0
29,128.0
30,204.0
31,101.0
32,134.0
33,189.0
34,75.0
35,117.0
36,113.0
37,119.0
38,56.0
39,218.0
40,231.0
41,200.0
42,109.0
43,146.0
44,84.0
45,193.0
46,123.0
47,93.0
48,46.0
49,40.0
50,162.0
51,205.0
52,214.0
53,178.0
54,150.0
55,200.0
56,230.0
57,186.0
58,68.0
59,137.0
60,104.0
61,208.0
62,121.0
63,163.0
64,120.0
65,88.0
66,149.0
67,163.0
68,191.0
69,74.0
70,88.0
71,133.0
72,146.0
73,216.0
74,184.0
75,71.0
76,77.0
77,220.0
78,265.0
79,113.0
80,71.0
81,229.0
82,206.0
83,109.0
84,159.0
85,121.0
86,204.0
87,207.0
88,218.0
89,118.0
90,133.0
91,169.0
92,100.0
93,136.0
94,196.0
95,151.0
96,196.0
97,189.0
98,101.0
99,143.0
100,74.0
101,41.0
102,143.0
103,177.0
104,145.0
105,64.0
106,170.0
107,148.0
108,111.0
109,102.0
110,49.0
111,169.0
112,151.0
113,75.0
114,75.0
115,73.0
116,39.0
117,85.0
118,172.0
119,72.0
120,137.0
121,102.0
122,194.0
123,94.0
124,146.0
125,135.0
126,195.0
127,193.0
128,150.0
129,129.0
130,98.0
131,211.0
132,165.0
133,136.0
134,101.0
135,92.0
136,142.0
137,187.0
138,205.0
139,82.0
140,189.0
141,119.0
142,179.0
143,217.0
144,120.0
145,51.0
146,37.0
147,44.0
148,133.0
149,40.0
150,135.0
151,189.0
152,193.0
153,194.0
154,116.0
155,152.0
156,86.0
157,141.0
158,148.0
159,117.0
160,72.0
161,174.0
162,155.0
163,38.0
164,155.0
165,171.0
166,113.0
167,180.0
168,174.0
169,115.0
170,136.0
171,90.0
172,158.0
173,204.0
174,208.0
175,208.0
176,194.0
177,45.0
178,114.0
179,150.0
180,133.0
181,181.0
182,87.0
183,197.0
184,69.0
185,196.0
186,175.0
187,183.0
188,75.0
189,119.0
190,93.0
191,179.0
192,221.0
193,127.0
194,191.0
195,141.0
196,72.0
197,116.0
198,181.0
199,196.0
200,112.0
201,190.0
202,43.0
203,147.0
204,137.0
205,163.0
206,142.0
207,36.0
208,175.0
209,200.0
210,78.0
211,160.0
212,207.0
213,104.0
214,179.0
215,149.0
216,178.0
217,184.0
218,160.0
219,155.0
220,110.0
221,135.0
222,162.0
223,131.0
224,205.0
225,168.0
226,202.0
227,116.0
228,207.0
229,200.0
230,177.0
231,189.0
232,210.0
233,112.0
234,186.0
235,196.0
236,112.0
237,171.0
238,98.0
239,145.0
240,168.0
241,79.0
242,130.0
243,172.0
244,175.0
245,198.0
246,141.0
247,194.0
248,173.0
249,166.0
250,103.0
251,74.0
252,141.0
253,286.0
254,135.0
255,213.0
256,216.0
257,143.0
258,113.0
259,154.0
260,158.0
261,200.0
262,154.0
263,39.0
264,222.0
265,186.0
266,171.0
267,147.0
268,201.0
269,134.0
270,91.0
271,211.0
272,124.0
273,105.0
274,130.0
275,84.0
276,198.0
277,165.0
278,186.0
279,46.0
280,208.0
281,111.0
282,150.0
283,79.0
284,149.0
285,121.0
286,161.0
287,79.0
288,182.0
289,163.0
290,195.0
291,214.0
292,114.0
293,168.0
294,112.0
295,124.0
296,93.0
297,48.0
298,129.0
299,177.0
300,196.0
301,231.0
302,100.0
303,206.0
304,121.0
305,188.0
306,116.0
307,158.0
308,172.0
309,185.0
310,129.0
311,165.0
312,80.0
313,131.0
314,196.0
315,180.0
316,82.0
317,41.0
318,195.0
319,216.0
320,206.0
321,94.0
322,189.0
323,100.0
324,149.0
325,210.0
326,146.0
327,226.0
328,203.0
329,117.0
330,100.0
331,179.0
332,121.0
333,95.0
334,96.0
335,211.0
336,200.0
337,128.0
338,95.0
339,191.0
340,199.0
341,177.0
342,81.0
343,164.0
344,146.0
345,186.0
346,68.0
347,193.0
348,185.0
349,80.0
350,145.0
351,86.0
352,208.0
353,133.0
354,192.0
355,182.0
356,156.0
357,258.0
358,116.0
359,179.0
360,62.0
361,149.0
362,159.0
363,167.0
364,166.0
365,148.0
366,153.0
367,43.0
368,126.0
369,164.0
370,144.0
371,124.0
372,175.0
373,183.0
374,305.0
375,143.0
376,200.0
377,211.0
378,111.0
379,142.0
380,107.0
381,166.0
382,142.0
383,196.0
384,152.0
385,106.0
386,211.0
387,159.0
388,198.0
389,194.0
390,86.0
391,201.0
392,216.0
393,194.0
394,133.0
395,163.0
396,192.0
397,199.0
398,166.0
399,80.0
400,153.0
401,152.0
402,187.0
403,47.0
404,154.0
405,136.0
406,195.0
407,100.0
408,125.0
409,49.0
410,173.0
411,174.0
412,76.0
413,146.0
414,223.0
415,218.0
416,160.0
417,159.0
418,153.0
419,74.0
420,150.0
421,159.0
422,152.0
423,188.0
424,107.0
425,168.0
426,166.0
427,203.0
428,121.0
429,151.0
430,225.0
431,138.0
432,160.0
433,225.0
434,185.0
435,181.0
436,193.0
437,197.0
438,177.0
439,130.0
440,133.0
441,196.0
442,134.0
443,140.0
444,172.0
445,96.0
446,141.0
447,81.0
448,150.0
449,160.0
450,143.0
451,129.0
452,219.0
453,98.0
454,74.0
455,188.0
456,76.0
457,205.0
458,210.0
459,183.0
460,186.0
461,77.0
