round,reconnect_count
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,2
19,1
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,0
28,2
29,1
30,1
31,2
32,1
33,1
34,1
35,2
36,1
37,1
38,4
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,2
47,3
48,2
49,4
50,1
51,1
52,1
53,0
54,0
55,0
56,1
57,1
58,3
59,1
60,2
61,1
62,1
63,1
64,2
65,1
66,1
67,0
68,1
69,4
70,1
71,1
72,1
73,1
74,0
75,3
76,2
77,0
78,1
79,2
80,2
81,2
82,1
83,1
84,0
85,1
86,0
87,1
88,0
89,3
90,3
91,2
92,2
93,1
94,1
95,1
96,1
97,0
98,4
99,1
100,2
101,2
102,2
103,0
104,1
105,2
106,0
107,2
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,2
116,2
117,2
118,0
119,1
120,0
121,1
122,1
123,2
124,2
125,1
126,1
127,2
128,0
129,0
130,2
131,0
132,0
133,1
134,3
135,1
136,0
137,0
138,0
139,2
140,0
141,1
142,0
143,0
144,2
145,1
146,2
147,1
148,0
149,3
150,1
151,2
152,0
153,1
154,0
155,1
156,1
157,0
158,0
159,3
160,1
161,0
162,2
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,2
171,4
172,0
173,1
174,0
175,1
176,1
177,2
178,0
179,0
180,1
181,3
182,2
183,0
184,2
185,0
186,0
187,1
188,2
189,0
190,2
191,0
192,1
193,1
194,2
195,0
196,2
197,2
198,0
199,1
200,4
201,0
202,1
203,2
204,1
205,0
206,1
207,4
208,0
209,0
210,1
211,0
212,0
213,2
214,0
215,0
216,1
217,0
218,0
219,0
220,2
221,1
222,1
223,2
224,0
225,2
226,1
227,3
228,0
229,3
230,1
231,0
232,0
233,0
234,2
235,1
236,1
237,1
238,2
239,3
240,1
241,2
242,1
243,1
244,0
245,0
246,0
247,2
248,1
249,1
250,1
251,1
252,2
253,0
254,4
255,1
256,0
257,0
258,1
259,3
260,2
261,1
262,0
263,2
264,0
265,1
266,1
267,1
268,0
269,3
270,1
271,2
272,1
273,1
274,1
275,3
276,0
277,1
278,0
279,3
