round,backup_time_ms
1,348.0
2,348.0
3,361.0
4,351.0
5,367.0
6,373.0
7,323.0
8,317.0
9,340.0
10,320.0
11,339.0
12,307.0
13,339.0
14,315.0
15,287.0
16,349.0
17,360.0
18,335.0
19,333.0
20,269.0
21,303.0
22,300.0
23,368.0
24,289.0
25,314.0
26,303.0
27,318.0
28,288.0
29,327.0
30,306.0
31,313.0
32,314.0
33,315.0
34,325.0
35,334.0
36,265.0
37,286.0
38,310.0
39,265.0
40,261.0
41,240.0
42,338.0
43,266.0
44,258.0
45,282.0
46,321.0
47,320.0
48,304.0
49,285.0
50,305.0
51,300.0
52,348.0
53,339.0
54,346.0
55,331.0
56,376.0
57,342.0
58,370.0
59,329.0
60,237.0
61,319.0
62,318.0
63,324.0
64,257.0
65,270.0
66,248.0
67,316.0
68,280.0
69,247.0
70,303.0
71,301.0
72,254.0
73,237.0
74,243.0
75,292.0
76,281.0
77,284.0
78,262.0
79,344.0
80,263.0
81,243.0
82,271.0
83,282.0
84,319.0
85,282.0
86,318.0
87,309.0
88,315.0
89,290.0
90,273.0
91,320.0
92,300.0
93,308.0
94,323.0
95,257.0
96,333.0
97,246.0
98,263.0
99,252.0
100,284.0
101,338.0
102,322.0
103,244.0
104,245.0
105,262.0
106,306.0
107,303.0
108,270.0
109,285.0
110,301.0
111,315.0
112,324.0
113,320.0
114,273.0
115,237.0
116,227.0
117,236.0
118,300.0
119,299.0
120,321.0
121,312.0
122,310.0
123,313.0
124,332.0
125,244.0
126,320.0
127,251.0
128,319.0
129,304.0
130,312.0
131,286.0
132,273.0
133,278.0
134,243.0
135,244.0
136,265.0
137,261.0
138,271.0
139,278.0
140,293.0
141,290.0
142,278.0
143,277.0
144,279.0
145,263.0
146,235.0
147,327.0
148,335.0
149,316.0
150,312.0
151,306.0
152,305.0
153,296.0
154,298.0
155,268.0
156,251.0
157,446.0
158,330.0
159,318.0
160,304.0
161,305.0
162,267.0
163,332.0
164,309.0
165,335.0
