round,connect_latency_ms,excluded_from_stats
309,1512.0,False
310,1493.0,False
311,1574.0,False
312,1603.0,False
313,1583.0,False
314,1606.0,False
315,1605.0,False
316,1598.0,False
317,1616.0,False
318,1516.0,False
319,3530.0,False
320,1532.0,False
321,1487.0,False
322,1585.0,False
323,1588.0,False
324,1534.0,False
325,1462.0,False
326,1521.0,False
327,1513.0,False
328,1572.0,False
329,1520.0,False
330,1598.0,False
331,1578.0,False
332,1547.0,False
333,1533.0,False
334,1519.0,False
335,1522.0,False
336,1493.0,False
337,1603.0,False
338,1616.0,False
339,1610.0,False
340,1508.0,False
341,1580.0,False
342,1519.0,False
343,3613.0,False
344,4746.0,False
345,2785.0,False
346,4511.0,False
347,4616.0,False
348,2680.0,False
349,3895.0,False
350,1618.0,False
351,1619.0,False
352,1519.0,False
353,1608.0,False
354,1533.0,False
355,1520.0,False
356,1533.0,False
357,1511.0,False
358,1622.0,False
359,1518.0,False
360,1545.0,False
361,1613.0,False
362,1526.0,False
363,1617.0,False
364,1512.0,False
365,1514.0,False
366,1498.0,False
367,1623.0,False
368,1605.0,False
369,1603.0,False
370,1622.0,False
371,1521.0,False
372,1521.0,False
373,1514.0,False
374,1619.0,False
375,1600.0,False
376,1611.0,False
377,1501.0,False
378,1613.0,False
379,1525.0,False
380,1510.0,False
381,1593.0,False
382,3556.0,False
383,1560.0,False
384,3464.0,False
385,3442.0,False
386,3529.0,False
387,1578.0,False
388,3489.0,False
389,3427.0,False
390,3508.0,False
391,3392.0,False
392,3518.0,False
393,1487.0,False
394,1520.0,False
395,1550.0,False
396,1458.0,False
397,1491.0,False
398,4332.0,False
399,1563.0,False
400,1500.0,False
401,1484.0,False
402,1447.0,False
403,3566.0,False
404,1473.0,False
405,1531.0,False
406,3453.0,False
407,2903.0,False
408,1600.0,False
409,1588.0,False
410,1504.0,False
411,1597.0,False
412,1571.0,False
413,1538.0,False
414,1543.0,False
415,1514.0,False
416,1510.0,False
417,1604.0,False
418,1594.0,False
419,1562.0,False
420,1541.0,False
421,1595.0,False
422,1598.0,False
423,1597.0,False
424,1577.0,False
425,1560.0,False
426,1532.0,False
427,1513.0,False
428,1575.0,False
429,1567.0,False
430,1546.0,False
431,1532.0,False
432,3372.0,False
433,1526.0,False
434,1582.0,False
435,1582.0,False
436,1533.0,False
437,1518.0,False
438,1594.0,False
439,1585.0,False
440,1528.0,False
441,1504.0,False
442,1607.0,False
443,1499.0,False
444,1618.0,False
445,1602.0,False
446,1522.0,False
447,1501.0,False
448,1594.0,False
449,1549.0,False
450,1533.0,False
451,1479.0,False
452,1596.0,False
453,1549.0,False
454,1594.0,False
455,1605.0,False
456,1565.0,False
457,1537.0,False
458,1507.0,False
459,1593.0,False
460,1525.0,False
461,3330.0,False
462,1528.0,False
463,1527.0,False
464,1515.0,False
465,1521.0,False
466,1541.0,False
467,1520.0,False
468,1498.0,False
469,1589.0,False
470,1554.0,False
471,1517.0,False
472,1623.0,False
473,1554.0,False
474,1562.0,False
475,1536.0,False
476,1518.0,False
477,3494.0,False
478,1569.0,False
479,1592.0,False
480,1529.0,False
481,1515.0,False
482,1625.0,False
483,1591.0,False
484,1607.0,False
485,1513.0,False
486,1528.0,False
487,1596.0,False
488,1559.0,False
489,1604.0,False
490,1598.0,False
491,1608.0,False
492,1458.0,False
493,1526.0,False
494,1537.0,False
495,3527.0,False
496,1487.0,False
497,1562.0,False
498,1508.0,False
499,1612.0,False
500,1520.0,False
501,1512.0,False
502,1577.0,False
503,1588.0,False
504,1527.0,False
505,1512.0,False
506,1611.0,False
507,1523.0,False
508,1516.0,False
509,1508.0,False
510,1574.0,False
511,1599.0,False
512,1616.0,False
513,1521.0,False
514,1524.0,False
515,1474.0,False
516,3520.0,False
517,1464.0,False
518,1563.0,False
519,1560.0,False
520,1485.0,False
521,1581.0,False
522,1565.0,False
523,1566.0,False
524,1537.0,False
525,1516.0,False
526,1518.0,False
527,3351.0,False
528,1530.0,False
529,1605.0,False
530,1579.0,False
531,1582.0,False
532,1516.0,False
533,1617.0,False
534,1519.0,False
535,1576.0,False
536,1513.0,False
537,1509.0,False
538,1609.0,False
539,1618.0,False
540,1602.0,False
541,1579.0,False
542,1513.0,False
543,1599.0,False
544,1614.0,False
545,1585.0,False
546,1597.0,False
547,1603.0,False
548,1593.0,False
549,1538.0,False
550,1517.0,False
551,1529.0,False
552,1498.0,False
553,1543.0,False
554,1513.0,False
555,1505.0,False
556,1614.0,False
